585.6	272
585.601	258
585.602	298
585.603	218
585.604	256
585.605	262
585.606	270
585.607	248
585.608	208
585.609	260
585.61	286
585.611	252
585.612	318
585.613	238
585.614	274
585.615	270
585.616	250
585.617	242
585.618	300
585.619	250
585.62	262
585.621	282
585.622	230
585.623	248
585.624	308
585.625	298
585.626	356
585.627	312
585.628	316
585.629	288
585.63	322
585.631	316
585.632	324
585.633	296
585.634	348
585.635	338
585.636	294
585.637	320
585.638	330
585.639	322
585.64	292
585.641	346
585.642	282
585.643	378
585.644	354
585.645	372
585.646	348
585.647	296
585.648	374
585.649	346
585.65	356
585.651	402
585.652	368
585.653	320
585.654	376
585.655	328
585.656	390
585.657	418
585.658	364
585.659	368
585.66	418
585.661	434
585.662	380
585.663	456
585.664	482
585.665	450
585.666	436
585.667	428
585.668	444
585.669	446
585.67	456
585.671	438
585.672	466
585.673	510
585.674	512
585.675	536
585.676	508
585.677	506
585.678	548
585.679	492
585.68	598
585.681	566
585.682	558
585.683	562
585.684	564
585.685	612
585.686	572
585.687	572
585.688	566
585.689	624
585.69	620
585.691	620
585.692	722
585.693	722
585.694	686
585.695	726
585.696	712
585.697	800
585.698	820
585.699	736
585.7	756
585.701	878
585.702	874
585.703	908
585.704	856
585.705	926
585.706	920
585.707	1060
585.708	994
585.709	1168
585.71	1068
585.711	1074
585.712	1294
585.713	1206
585.714	1210
585.715	1252
585.716	1422
585.717	1420
585.718	1436
585.719	1468
585.72	1540
585.721	1680
585.722	1644
585.723	1834
585.724	1852
585.725	2050
585.726	2176
585.727	2422
585.728	2440
585.729	2654
585.73	2996
585.731	3124
585.732	3348
585.733	3842
585.734	4208
585.735	4806
585.736	5840
585.737	6212
585.738	8060
585.739	10068
585.74	12758
585.741	14830
585.742	19484
585.743	25996
585.744	33258
585.745	40154
585.746	51722
585.747	63072
585.748	79422
585.749	92358
585.75	108958
585.751	133608
585.752	149774
585.753	165560
585.754	181096
585.755	194870
585.756	206778
585.757	212322
585.758	211954
585.759	206426
585.76	194700
585.761	181948
585.762	159820
585.763	138716
585.764	117588
585.765	101490
585.766	85704
585.767	69386
585.768	60168
585.769	55050
585.77	48684
585.771	46456
585.772	45652
585.773	46620
585.774	48750
585.775	51766
585.776	55684
585.777	60806
585.778	67402
585.779	73564
585.78	88022
585.781	97528
585.782	110902
585.783	133340
585.784	146514
585.785	164208
585.786	177060
585.787	190428
585.788	204942
585.789	208828
585.79	212290
585.791	208164
585.792	199232
585.793	187378
585.794	163760
585.795	144506
585.796	121580
585.797	104624
585.798	82326
585.799	60560
585.8	46350
585.801	37210
585.802	25990
585.803	19308
585.804	13914
585.805	11182
585.806	8850
585.807	6418
585.808	5498
585.809	4610
585.81	3868
585.811	3332
585.812	2978
585.813	2730
585.814	2552
585.815	2366
585.816	2162
585.817	1984
585.818	1898
585.819	1856
585.82	1714
585.821	1606
585.822	1536
585.823	1390
585.824	1304
585.825	1342
585.826	1238
585.827	1292
585.828	1244
585.829	1166
585.83	1090
585.831	1050
585.832	1046
585.833	1036
585.834	904
585.835	932
585.836	962
585.837	870
585.838	848
585.839	842
585.84	842
585.841	738
585.842	806
585.843	828
585.844	756
585.845	860
585.846	674
585.847	712
585.848	730
585.849	592
585.85	654
585.851	740
585.852	614
585.853	742
585.854	620
585.855	604
585.856	556
585.857	604
585.858	548
585.859	552
585.86	526
585.861	524
585.862	580
585.863	442
585.864	550
585.865	450
585.866	498
585.867	516
585.868	416
585.869	512
585.87	484
585.871	496
585.872	472
585.873	486
585.874	468
585.875	412
585.876	400
585.877	416
585.878	410
585.879	468
585.88	446
585.881	410
585.882	438
585.883	378
585.884	396
585.885	448
585.886	394
585.887	404
585.888	414
585.889	412
585.89	360
585.891	380
585.892	426
585.893	372
585.894	322
585.895	366
585.896	362
585.897	376
585.898	360
585.899	368
585.9	310
